NELEVE	AAPPL	DSOLI	EENVI	MATER	MCFLU	MMCON	ALGPR	ANUME	SYSTE	AUTOM	M3SYS	PEIN1	RDMAT	TCMEC	TPMEC	COMM1	COEN1	EPSP1	LV1A1	LV2A1
1	8	10,3	9,45	2,52	10,96	6,5	11,67	7,5	10	14,72	12,5	15,75	10,43	14,77	15	10	11,5	18	9,88	7,8
2	0	4,6	7,39	6,14	5,11	1,5	3	4,67	4,9	0	10,5	14,5	7,28	0	13	5	6,62	5	7,35	12,62
3	12	5,7	7,6	6,55	7,82	7	14,5	6,5	8	8,61	10,25	11	9,51	7,67	14,5	7,75	11,25	15,5	12,5	1,2
4	16	7,8	11,56	8,43	9,38	2,5	13,33	8,33	4,9	8,61	8,5	16,75	5,6	10,77	15	11,5	11	19	12,8	12,22
5	7	3,45	7,69	8,45	10,96	4,5	10	4,83	7	9,44	9	15,75	9,1	12,43	13,5	12,75	10	15	13,19	10,55
6	16	5,4	11,47	8,5	13,32	7,5	12,67	8,83	10	10,94	12,5	15,75	11,82	14,8	13,5	12	11,25	18	12,1	11,55
7	8	1,8	11,33	8,55	8,43	0	8	5,33	4	7,5	6,75	15,75	6,71	13,17	15	12,25	12,62	17	12,45	11,5
8	5	3,7	7,35	8,59	10,29	8,5	7,17	8,33	9	9,06	9,5	16	5,15	13,77	14,5	9,5	10,25	16	13,07	9,47
9	7	9,3	8,78	8,59	11,34	5,5	7	12,5	4,9	8,67	11,5	16,25	6,3	12,27	15	12,5	13,12	14,5	6,85	10,68
10	7	12,3	8,28	8,73	8,89	5,5	9	6,33	4,9	14,06	14	16,5	10,84	13,6	14,5	9	10,75	13	5,4	2,38
11	14	15,6	12,83	8,77	12,16	12,5	14,83	9,5	9	10,67	12	16	13,24	14,33	15	12	14	17,5	12,8	12,68
12	8	3,6	8,23	8,86	8,57	10,5	8,67	6,33	4,9	9,06	11,5	16,75	9,19	12,43	15	9,75	8	14,5	11,5	11,12
13	11	2,5	7,43	8,91	5,73	7,5	12,83	2	7	7,28	10	11	9,1	4,43	15	9	8,75	14,5	9,15	2,4
14	8	8,4	9,64	9,05	11,25	7	13	7,5	11	12,11	8,25	15,75	4,97	12,77	15	10,5	8	18	14,68	13,07
15	12	8,1	8,67	9,16	11,34	6	9,33	6,33	8	10,31	12,25	16,25	10,26	14,33	15	11,5	11	17,5	14,45	10,68
16	6	8,5	8,33	9,23	8,77	12,5	11,83	6,17	4,9	7,89	9,5	11	8,56	14,6	15	12	12,75	16,5	13,05	13,03
17	5	13,2	14,53	9,29	11,84	6	14,17	10,67	11	14,17	14,5	16,5	11,25	17,93	15	14,5	14	18	10,18	12,1
18	12	10,5	7,79	9,41	8	0	10,83	9,67	10	9,83	8	10	10,93	14,27	13,5	10,75	6,5	16,5	13,5	13,03
19	9	7,2	10,12	9,5	9,91	1,5	9,33	6,67	9	9,31	11	15,25	8,66	14,17	13,5	14,5	14	18	14,14	11,18
20	7	4,4	10,38	9,55	10,09	8	9,17	14,83	10	9,03	9,25	14,5	9,53	15,83	14,5	12	9	16,5	12,94	12,5
21	13	15	7	9,55	8,43	5	10,67	15,17	4,9	11,11	9,25	15,5	7,61	15,87	15	13	9,5	16,5	13,25	11,47
22	7	3,7	12,86	9,64	11,02	7,5	10	10	10	12,94	11,5	16,5	11,75	14,43	15	9,5	13,25	17	11,57	13,3
23	10	15	9,79	9,65	9,54	11	14	10,17	4,9	13,11	9,25	16,75	5,03	15,5	15	14	14,1	14,5	13,45	13,9
24	17	9,7	8,13	9,68	11	8,5	12,17	12	10	8,78	7,75	14,75	11,75	14,97	14	12,75	7,12	16,5	13,45	11,21
25	5	7,2	9,52	9,68	11,27	7,5	12,67	7,67	8	10,33	14,25	14,25	5,85	14,77	15,5	10	13	15,5	12,66	13,57
26	6	3,9	11,49	9,73	11,29	6,5	10,5	8,5	7	9,28	8,25	14,75	12,82	11,1	15	11,75	8,75	14	13,95	13,62
27	16	4,1	7,38	9,75	8,02	11,5	10,5	6,67	8	10,28	10,25	15,5	2	11,33	15	13	14,88	15,5	13,94	12,2
